Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanvelthovenPeter	Vanvelthoven, Peter	M	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanCauterCarina	Van Cauter, Carina	F	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
