Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	DeConinckMonica	De Coninck, Monica	F	1956	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2018-02-21-54-commissie-ic823x	ParlaMint-BE_2018-02-21-54-commissie-ic823x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2018	2018-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
