Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanPeelValerie	Van Peel, Valerie	F	1979	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanPeelValerie	Van Peel, Valerie	F	1979	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-10-02-54-commissie-ic969x	ParlaMint-BE_2018-10-02-54-commissie-ic969x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2018	2018-10-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
