Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VercamerStefaan	Vercamer, Stefaan	M	1961	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2018-06-13-54-commissie-ic922x	ParlaMint-BE_2018-06-13-54-commissie-ic922x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-06-2018	2018-06-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
