Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DiricksHerman	Diricks, Herman	U	-	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	GantoisRita	Gantois, Rita	F	1958	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LijnenNele	Lijnen, Nele	F	1978	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	Opposition	Centre to centre-right	CaprasseVéronique	Caprasse, Véronique	F	1951	
ParlaMint-BE-en_2018-03-21-54-commissie-ic849x	ParlaMint-BE_2018-03-21-54-commissie-ic849x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
