Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2018-05-02-54-commissie-ic884x	ParlaMint-BE_2018-05-02-54-commissie-ic884x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-05-2018	2018-05-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
