Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	SmaersGriet	Smaers, Griet	F	1977	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	SmaersGriet	Smaers, Griet	F	1977	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2018-10-17-54-commissie-ic979x	ParlaMint-BE_2018-10-17-54-commissie-ic979x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2018	2018-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
