Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-06-27-54-commissie-ic937x	ParlaMint-BE_2018-06-27-54-commissie-ic937x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-06-2018	2018-06-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
