Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	SaveklievaDaniela	Saveklieva, Daniela Vladimirova	F	1974	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	SaveklievaDaniela	Saveklieva, Daniela Vladimirova	F	1974	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	GechevRumen	Gechev, Rumen Vasilev	M	1956	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	TsipovKrasimir	Tsipov, Krasimir Georgiev	M	1973	
ParlaMint-BG-en_2019-09-19	ParlaMint-BG_2019-09-19.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 298 (2019-09-19)	2019-09-19	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	298 пленарно заседание	2019-09-19	-	Reference	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
