Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2019-07-12	ParlaMint-BG_2019-07-12.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 285 (2019-07-12)	2019-07-12	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	285 пленарно заседание	2019-07-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2019-07-12	ParlaMint-BG_2019-07-12.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 285 (2019-07-12)	2019-07-12	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	285 пленарно заседание	2019-07-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2019-07-12	ParlaMint-BG_2019-07-12.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 285 (2019-07-12)	2019-07-12	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	285 пленарно заседание	2019-07-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
