Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e49	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e62	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e102	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e109	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e179	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-04-03	ParlaMint-NO_2020-04-03.ana.ud204e293	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-04-03	2020-04-03	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-04-03	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
