Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e127	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e183	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e190	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e209	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e305	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e313	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e360	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2020-03-24	ParlaMint-NO_2020-03-24.ana.ud412e376	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2020-03-24	2020-03-24	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2020-03-24	-	COVID	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOW	Wold, Morten	M	1967	
