Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-06-06-tweedekamer-4	ParlaMint-NL_2017-06-06-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2017-06-06)	2017-06-06	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2017-06-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
