Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-28-tweedekamer-5	ParlaMint-NL_2017-03-28-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 60, Session 5 (2017-03-28)	2017-03-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 60	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
