Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
