Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-05-23-tweedekamer-4	ParlaMint-NL_2017-05-23-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 78, Session 4 (2017-05-23)	2017-05-23	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 78	Sitting 2017-05-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
