Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-22-tweedekamer-4	ParlaMint-NL_2017-02-22-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 56, Session 4 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
