Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HaykeVeldman	Veldman, Hayke	M	1969	
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HaykeVeldman	Veldman, Hayke	M	1969	
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HaykeVeldman	Veldman, Hayke	M	1969	
ParlaMint-NL-en_2017-02-14-tweedekamer-3	ParlaMint-NL_2017-02-14-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
