Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u1	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u2	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u3	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u4	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u5	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u6	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u7	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u8	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u9	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u10	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-35	ParlaMint-NL_2017-07-06-tweedekamer-35.u11	Report of the meeting of the Dutch Lower House, Meeting 97, Session 35 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 97	Sitting 2017-07-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
