Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2017-11-02-tweedekamer-4	ParlaMint-NL_2017-11-02-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 17, Session 4 (2017-11-02)	2017-11-02	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 17	Sitting 2017-11-02	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
