Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MarnixvanRij	van Rij, Marnix	M	1960	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MarnixvanRij	van Rij, Marnix	M	1960	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MarnixvanRij	van Rij, Marnix	M	1960	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	AnnekeWezel	Wezel, Anneke	F	1975	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u11	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u12	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u13	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2017-03-28-eerstekamer-7	ParlaMint-NL_2017-03-28-eerstekamer-7.u14	Report of the meeting of the Dutch Upper House, Meeting 22, Session 7 (2017-03-28)	2017-03-28	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 22	Sitting 2017-03-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MarnixvanRij	van Rij, Marnix	M	1960	
