Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MichielServaes	Servaes, Michiel	M	1972	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MichielServaes	Servaes, Michiel	M	1972	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2017-02-07-tweedekamer-2	ParlaMint-NL_2017-02-07-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 49, Session 2 (2017-02-07)	2017-02-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 49	Sitting 2017-02-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
