Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RoyvanAalst	van Aalst, Roy	M	1983	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u12	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-6	ParlaMint-NL_2017-05-16-tweedekamer-6.u13	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
