Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-01-31-tweedekamer-3	ParlaMint-NL_2017-01-31-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 46, Session 3 (2017-01-31)	2017-01-31	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 46	Sitting 2017-01-31	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
