Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	NikoKoffeman	Koffeman, Niko	M	1958	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	MarleenBarth	Barth, Marleen	F	1964	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2017-04-11-eerstekamer-3	ParlaMint-NL_2017-04-11-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 24, Session 3 (2017-04-11)	2017-04-11	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 24	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	ThomdeGraaf	de Graaf, Thom	M	1957	
