Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AukjedeVries	de Vries, Aukje	F	1964	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	EdGroot	Groot, Ed	M	1957	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-02-23-tweedekamer-6	ParlaMint-NL_2017-02-23-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 57, Session 6 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 57	Sitting 2017-02-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
