Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u1	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u2	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u3	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FrankdeGrave	de Grave, Frank	M	1955	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u4	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u5	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u6	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u7	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	PeterEster	Ester, Peter	M	1953	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u8	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u9	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u10	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-12-19-eerstekamer-8	ParlaMint-NL_2017-12-19-eerstekamer-8.u11	Report of the meeting of the Dutch Upper House, Meeting 13, Session 8 (2017-12-19)	2017-12-19	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 13	Sitting 2017-12-19	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	PeterEster	Ester, Peter	M	1953	
