Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkHarbers	Harbers, Mark	M	1969	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	BartSnels	Snels, Bart	M	1966	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkHarbers	Harbers, Mark	M	1969	
ParlaMint-NL-en_2017-06-08-tweedekamer-7	ParlaMint-NL_2017-06-08-tweedekamer-7.u16	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
