Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-10-03-tweedekamer-6	ParlaMint-NL_2017-10-03-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 7, Session 6 (2017-10-03)	2017-10-03	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 7	Sitting 2017-10-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-10-03-tweedekamer-6	ParlaMint-NL_2017-10-03-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 7, Session 6 (2017-10-03)	2017-10-03	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 7	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	TjeerddeGroot	de Groot, Tjeerd	M	1968	
ParlaMint-NL-en_2017-10-03-tweedekamer-6	ParlaMint-NL_2017-10-03-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 7, Session 6 (2017-10-03)	2017-10-03	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 7	Sitting 2017-10-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
