Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-SE-en_2015-09-15-prot-201516--1-meta.tsv,2015-09-15,0,0,0,0,0
ParlaMint-SE-en_2015-09-15-prot-201516--2-meta.tsv,2015-09-15,0,0,0,0,0
ParlaMint-SE-en_2015-09-17-prot-201516--3-meta.tsv,2015-09-17,0,0,0,0,0
ParlaMint-SE-en_2015-09-18-prot-201516--4-meta.tsv,2015-09-18,0,0,0,0,0
ParlaMint-SE-en_2015-09-21-prot-201516--5-meta.tsv,2015-09-21,0,0,0,0,0
ParlaMint-SE-en_2015-09-22-prot-201516--6-meta.tsv,2015-09-22,0,0,0,0,0
ParlaMint-SE-en_2015-09-24-prot-201516--7-meta.tsv,2015-09-24,0,0,0,0,0
ParlaMint-SE-en_2015-09-25-prot-201516--8-meta.tsv,2015-09-25,0,0,0,0,0
ParlaMint-SE-en_2015-09-29-prot-201516--9-meta.tsv,2015-09-29,0,0,0,0,0
ParlaMint-SE-en_2015-10-01-prot-201516--10-meta.tsv,2015-10-01,0,0,0,0,0
ParlaMint-SE-en_2015-10-02-prot-201516--11-meta.tsv,2015-10-02,0,0,0,0,0
ParlaMint-SE-en_2015-10-13-prot-201516--12-meta.tsv,2015-10-13,0,0,0,0,0
ParlaMint-SE-en_2015-10-14-prot-201516--13-meta.tsv,2015-10-14,0,0,0,0,0
ParlaMint-SE-en_2015-10-15-prot-201516--14-meta.tsv,2015-10-15,0,0,0,0,0
ParlaMint-SE-en_2015-10-16-prot-201516--15-meta.tsv,2015-10-16,0,0,0,0,0
ParlaMint-SE-en_2015-10-21-prot-201516--17-meta.tsv,2015-10-21,0,0,0,0,0
ParlaMint-SE-en_2015-10-22-prot-201516--18-meta.tsv,2015-10-22,0,0,0,0,0
ParlaMint-SE-en_2015-10-23-prot-201516--19-meta.tsv,2015-10-23,0,0,0,0,0
ParlaMint-SE-en_2015-11-03-prot-201516--20-meta.tsv,2015-11-03,0,0,0,0,0
