Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00018_d7e665	Sitting Number 18, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00018_d7e702	Sitting Number 18, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00018_d7e910	Sitting Number 18, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00018_d7e942	Sitting Number 18, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00018_d7e998	Sitting Number 18, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
