Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00015	ParlaMint-AT_1996-03-21-020-XX-NRSITZ-00015_d7e443	Sitting Number 15, Legislative period XX, Thursday, 21. March 1996	1996-03-21	Lower house	Legislative period XX	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00015	ParlaMint-AT_1996-03-21-020-XX-NRSITZ-00015_d7e474	Sitting Number 15, Legislative period XX, Thursday, 21. March 1996	1996-03-21	Lower house	Legislative period XX	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00015	ParlaMint-AT_1996-03-21-020-XX-NRSITZ-00015_d7e586	Sitting Number 15, Legislative period XX, Thursday, 21. March 1996	1996-03-21	Lower house	Legislative period XX	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
