Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00045	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00045_d7e380	Sitting Number 45, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00045	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00045_d7e411	Sitting Number 45, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00045	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00045_d7e672	Sitting Number 45, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
