Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00024	ParlaMint-AT_1996-05-22-020-XX-NRSITZ-00024_d7e428	Sitting Number 24, Legislative period XX, Wednesday, 22. May 1996	1996-05-22	Lower house	Legislative period XX	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00024	ParlaMint-AT_1996-05-22-020-XX-NRSITZ-00024_d7e459	Sitting Number 24, Legislative period XX, Wednesday, 22. May 1996	1996-05-22	Lower house	Legislative period XX	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00024	ParlaMint-AT_1996-05-22-020-XX-NRSITZ-00024_d7e731	Sitting Number 24, Legislative period XX, Wednesday, 22. May 1996	1996-05-22	Lower house	Legislative period XX	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
