Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00054	ParlaMint-AT_1996-12-13-020-XX-NRSITZ-00054_d7e434	Sitting Number 54, Legislative period XX, Friday, 13. December 1996	1996-12-13	Lower house	Legislative period XX	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00054	ParlaMint-AT_1996-12-13-020-XX-NRSITZ-00054_d7e468	Sitting Number 54, Legislative period XX, Friday, 13. December 1996	1996-12-13	Lower house	Legislative period XX	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00054	ParlaMint-AT_1996-12-13-020-XX-NRSITZ-00054_d7e608	Sitting Number 54, Legislative period XX, Friday, 13. December 1996	1996-12-13	Lower house	Legislative period XX	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00054	ParlaMint-AT_1996-12-13-020-XX-NRSITZ-00054_d7e635	Sitting Number 54, Legislative period XX, Friday, 13. December 1996	1996-12-13	Lower house	Legislative period XX	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
