Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006	ParlaMint-AT_1996-01-31-020-XX-NRSITZ-00006_d7e364	Sitting Number 6, Legislative period XX, Wednesday, 31. January 1996	1996-01-31	Lower house	Legislative period XX	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006	ParlaMint-AT_1996-01-31-020-XX-NRSITZ-00006_d7e395	Sitting Number 6, Legislative period XX, Wednesday, 31. January 1996	1996-01-31	Lower house	Legislative period XX	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006	ParlaMint-AT_1996-01-31-020-XX-NRSITZ-00006_d7e823	Sitting Number 6, Legislative period XX, Wednesday, 31. January 1996	1996-01-31	Lower house	Legislative period XX	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006	ParlaMint-AT_1996-01-31-020-XX-NRSITZ-00006_d7e874	Sitting Number 6, Legislative period XX, Wednesday, 31. January 1996	1996-01-31	Lower house	Legislative period XX	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
