Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00039	ParlaMint-AT_1996-09-20-020-XX-NRSITZ-00039_d7e400	Sitting Number 39, Legislative period XX, Friday, 20. September 1996	1996-09-20	Lower house	Legislative period XX	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00039	ParlaMint-AT_1996-09-20-020-XX-NRSITZ-00039_d7e431	Sitting Number 39, Legislative period XX, Friday, 20. September 1996	1996-09-20	Lower house	Legislative period XX	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00039	ParlaMint-AT_1996-09-20-020-XX-NRSITZ-00039_d7e564	Sitting Number 39, Legislative period XX, Friday, 20. September 1996	1996-09-20	Lower house	Legislative period XX	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
