Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003	ParlaMint-AT_1996-01-15-020-XX-NRSITZ-00003_d7e354	Sitting Number 3, Legislative period XX, Monday, 15. January 1996	1996-01-15	Lower house	Legislative period XX	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003	ParlaMint-AT_1996-01-15-020-XX-NRSITZ-00003_d7e385	Sitting Number 3, Legislative period XX, Monday, 15. January 1996	1996-01-15	Lower house	Legislative period XX	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003	ParlaMint-AT_1996-01-15-020-XX-NRSITZ-00003_d7e510	Sitting Number 3, Legislative period XX, Monday, 15. January 1996	1996-01-15	Lower house	Legislative period XX	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003	ParlaMint-AT_1996-01-15-020-XX-NRSITZ-00003_d7e558	Sitting Number 3, Legislative period XX, Monday, 15. January 1996	1996-01-15	Lower house	Legislative period XX	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
