Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e434	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e471	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e513	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_00030	Apfelbeck, Ute	F	1943	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e537	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e565	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019	ParlaMint-AT_1996-04-26-020-XX-NRSITZ-00019_d7e616	Sitting Number 19, Legislative period XX, Friday, 26. April 1996	1996-04-26	Lower house	Legislative period XX	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
