Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00021	ParlaMint-AT_1996-05-07-020-XX-NRSITZ-00021_d7e367	Sitting Number 21, Legislative period XX, Tuesday, 7. May 1996	1996-05-07	Lower house	Legislative period XX	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00021	ParlaMint-AT_1996-05-07-020-XX-NRSITZ-00021_d7e398	Sitting Number 21, Legislative period XX, Tuesday, 7. May 1996	1996-05-07	Lower house	Legislative period XX	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00021	ParlaMint-AT_1996-05-07-020-XX-NRSITZ-00021_d7e577	Sitting Number 21, Legislative period XX, Tuesday, 7. May 1996	1996-05-07	Lower house	Legislative period XX	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
