Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-11-29-020-XX-NRSITZ-00050	ParlaMint-AT_1996-11-29-020-XX-NRSITZ-00050_d7e485	Sitting Number 50, Legislative period XX, Friday, 29. November 1996	1996-11-29	Lower house	Legislative period XX	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-11-29-020-XX-NRSITZ-00050	ParlaMint-AT_1996-11-29-020-XX-NRSITZ-00050_d7e519	Sitting Number 50, Legislative period XX, Friday, 29. November 1996	1996-11-29	Lower house	Legislative period XX	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-11-29-020-XX-NRSITZ-00050	ParlaMint-AT_1996-11-29-020-XX-NRSITZ-00050_d7e643	Sitting Number 50, Legislative period XX, Friday, 29. November 1996	1996-11-29	Lower house	Legislative period XX	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
