Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00033	ParlaMint-AT_1996-06-28-020-XX-NRSITZ-00033_d7e410	Sitting Number 33, Legislative period XX, Friday, 28. June 1996	1996-06-28	Lower house	Legislative period XX	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00033	ParlaMint-AT_1996-06-28-020-XX-NRSITZ-00033_d7e444	Sitting Number 33, Legislative period XX, Friday, 28. June 1996	1996-06-28	Lower house	Legislative period XX	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00033	ParlaMint-AT_1996-06-28-020-XX-NRSITZ-00033_d7e623	Sitting Number 33, Legislative period XX, Friday, 28. June 1996	1996-06-28	Lower house	Legislative period XX	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
