Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00046	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00046_d7e339	Sitting Number 46, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00046	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00046_d7e370	Sitting Number 46, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00046	ParlaMint-AT_1996-10-31-020-XX-NRSITZ-00046_d7e434	Sitting Number 46, Legislative period XX, Thursday, 31. October 1996	1996-10-31	Lower house	Legislative period XX	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
