Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00026	ParlaMint-AT_1996-05-23-020-XX-NRSITZ-00026_d7e376	Sitting Number 26, Legislative period XX, Thursday, 23. May 1996	1996-05-23	Lower house	Legislative period XX	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00026	ParlaMint-AT_1996-05-23-020-XX-NRSITZ-00026_d7e407	Sitting Number 26, Legislative period XX, Thursday, 23. May 1996	1996-05-23	Lower house	Legislative period XX	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00026	ParlaMint-AT_1996-05-23-020-XX-NRSITZ-00026_d7e535	Sitting Number 26, Legislative period XX, Thursday, 23. May 1996	1996-05-23	Lower house	Legislative period XX	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
