Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012	ParlaMint-AT_1996-03-14-020-XX-NRSITZ-00012_d7e425	Sitting Number 12, Legislative period XX, Thursday, 14. March 1996	1996-03-14	Lower house	Legislative period XX	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012	ParlaMint-AT_1996-03-14-020-XX-NRSITZ-00012_d7e456	Sitting Number 12, Legislative period XX, Thursday, 14. March 1996	1996-03-14	Lower house	Legislative period XX	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012	ParlaMint-AT_1996-03-14-020-XX-NRSITZ-00012_d7e607	Sitting Number 12, Legislative period XX, Thursday, 14. March 1996	1996-03-14	Lower house	Legislative period XX	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012	ParlaMint-AT_1996-03-14-020-XX-NRSITZ-00012_d7e629	Sitting Number 12, Legislative period XX, Thursday, 14. March 1996	1996-03-14	Lower house	Legislative period XX	-	-	Sitting 12	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_01613	Schieder, Peter	M	1941	
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012	ParlaMint-AT_1996-03-14-020-XX-NRSITZ-00012_d7e659	Sitting Number 12, Legislative period XX, Thursday, 14. March 1996	1996-03-14	Lower house	Legislative period XX	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
