Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u177	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u178	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	HercegMugdin	Herceg, Mugdin	M	1951	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u179	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u180	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	ČamparaAvdo	Čampara, Avdo	M	1937	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u181	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u182	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MlaćoDževad	Mlaćo, Dževad	U	-	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u183	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u184	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	ČamparaAvdo	Čampara, Avdo	M	1937	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u185	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u186	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Regular	MP	notMinister	KCD_BiH	Koalicija za cjelovitu i demokratsku BiH	Coalition	-	SilajdžićHaris	Silajdžić, Haris	M	1945	
ParlaMint-BA-en_1999-05-18-0	ParlaMint-BA_1999-05-18-0.u187	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 04	1999-05-18	Unicameralism	2. mandat	-	Sjednica 04	1999-05-18	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
