Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_1999-07-27-0	ParlaMint-BA_1999-07-27-0.u242	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 07	1999-07-27	Unicameralism	2. mandat	-	Sjednica 07	1999-07-27	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-07-27-0	ParlaMint-BA_1999-07-27-0.u244	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 07	1999-07-27	Unicameralism	2. mandat	-	Sjednica 07	1999-07-27	-	Reference	English	Regular	MP	notMinister	SPRS	Socijalistička partija	-	Centre-left	MalićMomir	Malić, Momir	M	1946	
ParlaMint-BA-en_1999-07-27-0	ParlaMint-BA_1999-07-27-0.u245	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 07	1999-07-27	Unicameralism	2. mandat	-	Sjednica 07	1999-07-27	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
