Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-05-15-024-XXIV-NRSITZ-00156	ParlaMint-AT_2012-05-15-024-XXIV-NRSITZ-00156_d7e546	Sitting Number 156, Legislative period XXIV, Tuesday, 15. May 2012	2012-05-15	Lower house	Legislative period XXIV	-	-	Sitting 156	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-05-15-024-XXIV-NRSITZ-00156	ParlaMint-AT_2012-05-15-024-XXIV-NRSITZ-00156_d7e577	Sitting Number 156, Legislative period XXIV, Tuesday, 15. May 2012	2012-05-15	Lower house	Legislative period XXIV	-	-	Sitting 156	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-05-15-024-XXIV-NRSITZ-00156	ParlaMint-AT_2012-05-15-024-XXIV-NRSITZ-00156_d7e788	Sitting Number 156, Legislative period XXIV, Tuesday, 15. May 2012	2012-05-15	Lower house	Legislative period XXIV	-	-	Sitting 156	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
