Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-06-14-024-XXIV-NRSITZ-00162	ParlaMint-AT_2012-06-14-024-XXIV-NRSITZ-00162_d7e406	Sitting Number 162, Legislative period XXIV, Thursday, 14. June 2012	2012-06-14	Lower house	Legislative period XXIV	-	-	Sitting 162	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-06-14-024-XXIV-NRSITZ-00162	ParlaMint-AT_2012-06-14-024-XXIV-NRSITZ-00162_d7e440	Sitting Number 162, Legislative period XXIV, Thursday, 14. June 2012	2012-06-14	Lower house	Legislative period XXIV	-	-	Sitting 162	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-06-14-024-XXIV-NRSITZ-00162	ParlaMint-AT_2012-06-14-024-XXIV-NRSITZ-00162_d7e736	Sitting Number 162, Legislative period XXIV, Thursday, 14. June 2012	2012-06-14	Lower house	Legislative period XXIV	-	-	Sitting 162	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
