Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-10-16-024-XXIV-NRSITZ-00174	ParlaMint-AT_2012-10-16-024-XXIV-NRSITZ-00174_d7e373	Sitting Number 174, Legislative period XXIV, Tuesday, 16. October 2012	2012-10-16	Lower house	Legislative period XXIV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-10-16-024-XXIV-NRSITZ-00174	ParlaMint-AT_2012-10-16-024-XXIV-NRSITZ-00174_d7e407	Sitting Number 174, Legislative period XXIV, Tuesday, 16. October 2012	2012-10-16	Lower house	Legislative period XXIV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-10-16-024-XXIV-NRSITZ-00174	ParlaMint-AT_2012-10-16-024-XXIV-NRSITZ-00174_d7e590	Sitting Number 174, Legislative period XXIV, Tuesday, 16. October 2012	2012-10-16	Lower house	Legislative period XXIV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
