Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-03-28-024-XXIV-NRSITZ-00149	ParlaMint-AT_2012-03-28-024-XXIV-NRSITZ-00149_d7e435	Sitting Number 149, Legislative period XXIV, Wednesday, 28. March 2012	2012-03-28	Lower house	Legislative period XXIV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-03-28-024-XXIV-NRSITZ-00149	ParlaMint-AT_2012-03-28-024-XXIV-NRSITZ-00149_d7e469	Sitting Number 149, Legislative period XXIV, Wednesday, 28. March 2012	2012-03-28	Lower house	Legislative period XXIV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-03-28-024-XXIV-NRSITZ-00149	ParlaMint-AT_2012-03-28-024-XXIV-NRSITZ-00149_d7e757	Sitting Number 149, Legislative period XXIV, Wednesday, 28. March 2012	2012-03-28	Lower house	Legislative period XXIV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
