Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-04-19-024-XXIV-NRSITZ-00154	ParlaMint-AT_2012-04-19-024-XXIV-NRSITZ-00154_d7e416	Sitting Number 154, Legislative period XXIV, Thursday, 19. April 2012	2012-04-19	Lower house	Legislative period XXIV	-	-	Sitting 154	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-04-19-024-XXIV-NRSITZ-00154	ParlaMint-AT_2012-04-19-024-XXIV-NRSITZ-00154_d7e450	Sitting Number 154, Legislative period XXIV, Thursday, 19. April 2012	2012-04-19	Lower house	Legislative period XXIV	-	-	Sitting 154	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-04-19-024-XXIV-NRSITZ-00154	ParlaMint-AT_2012-04-19-024-XXIV-NRSITZ-00154_d7e673	Sitting Number 154, Legislative period XXIV, Thursday, 19. April 2012	2012-04-19	Lower house	Legislative period XXIV	-	-	Sitting 154	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
