Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-01-19-024-XXIV-NRSITZ-00142	ParlaMint-AT_2012-01-19-024-XXIV-NRSITZ-00142_d7e361	Sitting Number 142, Legislative period XXIV, Thursday, 19. January 2012	2012-01-19	Lower house	Legislative period XXIV	-	-	Sitting 142	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-01-19-024-XXIV-NRSITZ-00142	ParlaMint-AT_2012-01-19-024-XXIV-NRSITZ-00142_d7e395	Sitting Number 142, Legislative period XXIV, Thursday, 19. January 2012	2012-01-19	Lower house	Legislative period XXIV	-	-	Sitting 142	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-01-19-024-XXIV-NRSITZ-00142	ParlaMint-AT_2012-01-19-024-XXIV-NRSITZ-00142_d7e594	Sitting Number 142, Legislative period XXIV, Thursday, 19. January 2012	2012-01-19	Lower house	Legislative period XXIV	-	-	Sitting 142	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
