Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-09-19-024-XXIV-NRSITZ-00170	ParlaMint-AT_2012-09-19-024-XXIV-NRSITZ-00170_d7e386	Sitting Number 170, Legislative period XXIV, Wednesday, 19. September 2012	2012-09-19	Lower house	Legislative period XXIV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-09-19-024-XXIV-NRSITZ-00170	ParlaMint-AT_2012-09-19-024-XXIV-NRSITZ-00170_d7e417	Sitting Number 170, Legislative period XXIV, Wednesday, 19. September 2012	2012-09-19	Lower house	Legislative period XXIV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-09-19-024-XXIV-NRSITZ-00170	ParlaMint-AT_2012-09-19-024-XXIV-NRSITZ-00170_d7e711	Sitting Number 170, Legislative period XXIV, Wednesday, 19. September 2012	2012-09-19	Lower house	Legislative period XXIV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
