Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e521	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e552	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e725	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e755	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e801	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-07-06-024-XXIV-NRSITZ-00168	ParlaMint-AT_2012-07-06-024-XXIV-NRSITZ-00168_d7e858	Sitting Number 168, Legislative period XXIV, Friday, 6. July 2012	2012-07-06	Lower house	Legislative period XXIV	-	-	Sitting 168	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
