Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-06-13-024-XXIV-NRSITZ-00160	ParlaMint-AT_2012-06-13-024-XXIV-NRSITZ-00160_d7e481	Sitting Number 160, Legislative period XXIV, Wednesday, 13. June 2012	2012-06-13	Lower house	Legislative period XXIV	-	-	Sitting 160	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-06-13-024-XXIV-NRSITZ-00160	ParlaMint-AT_2012-06-13-024-XXIV-NRSITZ-00160_d7e512	Sitting Number 160, Legislative period XXIV, Wednesday, 13. June 2012	2012-06-13	Lower house	Legislative period XXIV	-	-	Sitting 160	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-06-13-024-XXIV-NRSITZ-00160	ParlaMint-AT_2012-06-13-024-XXIV-NRSITZ-00160_d7e937	Sitting Number 160, Legislative period XXIV, Wednesday, 13. June 2012	2012-06-13	Lower house	Legislative period XXIV	-	-	Sitting 160	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
