Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-02-29-024-XXIV-NRSITZ-00145	ParlaMint-AT_2012-02-29-024-XXIV-NRSITZ-00145_d7e433	Sitting Number 145, Legislative period XXIV, Wednesday, 29. February 2012	2012-02-29	Lower house	Legislative period XXIV	-	-	Sitting 145	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-02-29-024-XXIV-NRSITZ-00145	ParlaMint-AT_2012-02-29-024-XXIV-NRSITZ-00145_d7e464	Sitting Number 145, Legislative period XXIV, Wednesday, 29. February 2012	2012-02-29	Lower house	Legislative period XXIV	-	-	Sitting 145	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-02-29-024-XXIV-NRSITZ-00145	ParlaMint-AT_2012-02-29-024-XXIV-NRSITZ-00145_d7e807	Sitting Number 145, Legislative period XXIV, Wednesday, 29. February 2012	2012-02-29	Lower house	Legislative period XXIV	-	-	Sitting 145	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
