Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-07-04-024-XXIV-NRSITZ-00165	ParlaMint-AT_2012-07-04-024-XXIV-NRSITZ-00165_d7e525	Sitting Number 165, Legislative period XXIV, Wednesday, 4. July 2012	2012-07-04	Lower house	Legislative period XXIV	-	-	Sitting 165	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-07-04-024-XXIV-NRSITZ-00165	ParlaMint-AT_2012-07-04-024-XXIV-NRSITZ-00165_d7e556	Sitting Number 165, Legislative period XXIV, Wednesday, 4. July 2012	2012-07-04	Lower house	Legislative period XXIV	-	-	Sitting 165	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-07-04-024-XXIV-NRSITZ-00165	ParlaMint-AT_2012-07-04-024-XXIV-NRSITZ-00165_d7e816	Sitting Number 165, Legislative period XXIV, Wednesday, 4. July 2012	2012-07-04	Lower house	Legislative period XXIV	-	-	Sitting 165	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
