Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-11-16-024-XXIV-NRSITZ-00182	ParlaMint-AT_2012-11-16-024-XXIV-NRSITZ-00182_d7e674	Sitting Number 182, Legislative period XXIV, Friday, 16. November 2012	2012-11-16	Lower house	Legislative period XXIV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-11-16-024-XXIV-NRSITZ-00182	ParlaMint-AT_2012-11-16-024-XXIV-NRSITZ-00182_d7e705	Sitting Number 182, Legislative period XXIV, Friday, 16. November 2012	2012-11-16	Lower house	Legislative period XXIV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2012-11-16-024-XXIV-NRSITZ-00182	ParlaMint-AT_2012-11-16-024-XXIV-NRSITZ-00182_d7e1109	Sitting Number 182, Legislative period XXIV, Friday, 16. November 2012	2012-11-16	Lower house	Legislative period XXIV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
