Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-10-17-024-XXIV-NRSITZ-00176	ParlaMint-AT_2012-10-17-024-XXIV-NRSITZ-00176_d7e370	Sitting Number 176, Legislative period XXIV, Wednesday, 17. October 2012	2012-10-17	Lower house	Legislative period XXIV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-10-17-024-XXIV-NRSITZ-00176	ParlaMint-AT_2012-10-17-024-XXIV-NRSITZ-00176_d7e404	Sitting Number 176, Legislative period XXIV, Wednesday, 17. October 2012	2012-10-17	Lower house	Legislative period XXIV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-10-17-024-XXIV-NRSITZ-00176	ParlaMint-AT_2012-10-17-024-XXIV-NRSITZ-00176_d7e553	Sitting Number 176, Legislative period XXIV, Wednesday, 17. October 2012	2012-10-17	Lower house	Legislative period XXIV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
