Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-03-29-024-XXIV-NRSITZ-00151	ParlaMint-AT_2012-03-29-024-XXIV-NRSITZ-00151_d7e392	Sitting Number 151, Legislative period XXIV, Thursday, 29. March 2012	2012-03-29	Lower house	Legislative period XXIV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-03-29-024-XXIV-NRSITZ-00151	ParlaMint-AT_2012-03-29-024-XXIV-NRSITZ-00151_d7e426	Sitting Number 151, Legislative period XXIV, Thursday, 29. March 2012	2012-03-29	Lower house	Legislative period XXIV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2012-03-29-024-XXIV-NRSITZ-00151	ParlaMint-AT_2012-03-29-024-XXIV-NRSITZ-00151_d7e612	Sitting Number 151, Legislative period XXIV, Thursday, 29. March 2012	2012-03-29	Lower house	Legislative period XXIV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
