Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	JiriValenta.1965	Valenta, Jiří	M	1965	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2015-04-09-ps2013-026-09-016-118	ParlaMint-CZ_2015-04-09-ps2013-026-09-016-118.u11	Parliament of the Czech Republic, Chamber of Deputies, 2015-04-09	2015-04-09	Lower house	ps2013	-	ps2013/026	ps2013/026/09	ps2013/026/118	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
