Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-06-15-027-XXVII-NRSITZ-00164	ParlaMint-AT_2022-06-15-027-XXVII-NRSITZ-00164_d8e350	Sitting Number 164, Legislative period XXVII, Wednesday, 15. June 2022	2022-06-15	Lower house	Legislative period XXVII	-	-	Sitting 164	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-06-15-027-XXVII-NRSITZ-00164	ParlaMint-AT_2022-06-15-027-XXVII-NRSITZ-00164_d8e408	Sitting Number 164, Legislative period XXVII, Wednesday, 15. June 2022	2022-06-15	Lower house	Legislative period XXVII	-	-	Sitting 164	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-06-15-027-XXVII-NRSITZ-00164	ParlaMint-AT_2022-06-15-027-XXVII-NRSITZ-00164_d8e524	Sitting Number 164, Legislative period XXVII, Wednesday, 15. June 2022	2022-06-15	Lower house	Legislative period XXVII	-	-	Sitting 164	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
