Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-03-23-027-XXVII-NRSITZ-00148	ParlaMint-AT_2022-03-23-027-XXVII-NRSITZ-00148_d7e350	Sitting Number 148, Legislative period XXVII, Wednesday, 23. March 2022	2022-03-23	Lower house	Legislative period XXVII	-	-	Sitting 148	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-03-23-027-XXVII-NRSITZ-00148	ParlaMint-AT_2022-03-23-027-XXVII-NRSITZ-00148_d7e440	Sitting Number 148, Legislative period XXVII, Wednesday, 23. March 2022	2022-03-23	Lower house	Legislative period XXVII	-	-	Sitting 148	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-03-23-027-XXVII-NRSITZ-00148	ParlaMint-AT_2022-03-23-027-XXVII-NRSITZ-00148_d7e886	Sitting Number 148, Legislative period XXVII, Wednesday, 23. March 2022	2022-03-23	Lower house	Legislative period XXVII	-	-	Sitting 148	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
